District,Year,Rice_Area,Rice_Production,Rice_Yield,Groundnut_Area,Groundnut_Production,Groundnut_Yield,Jowar_Area,Jowar_Production,Jowar_Yield,Bajra_Area,Bajra_Production,Bajra_Yield,Maize_Area,Maize_Production,Maize_Yield,Total_Area,Rice_weight,Groundnut_weight,Jowar_weight,Bajra_weight,Maize_weight,GW_Jan,GW_May,GW_Annual_Mean,GW_Max_Depth,Crop_Water_Stress_Index
Ariyalur,2021,26160.0,108249.0,4.13795871559633,12482.0,58464.0,4.683864765261977,28.0,29.0,1.0357142857142858,1265.0,4096.0,3.2379446640316205,18130.0,108614.0,5.990843905129619,58065.0,0.45052957892017564,0.21496598639455783,0.0004822182037371911,0.021785929561698097,0.31223628691983124,2.04,4.33,3.2754545454545454,4.33,1725.0254025660897
Ariyalur,2022,26181.0,104212.0,3.980443833314236,12743.0,54199.0,4.253237071333281,49.0,40.0,0.8163265306122449,1231.0,3886.0,3.156783103168156,17822.0,114767.0,6.439625182358882,58026.0,0.45119429221383517,0.2196084513838624,0.0008444490400854789,0.021214627925412746,0.3071381794368042,1.95,3.54,3.0127272727272727,3.9,1725.23696274084
Chengalpattu,2019,0.0,,,0.0,,,0.0,,,0.0,,,2.0,11.0,5.5,2.0,0.0,0.0,0.0,0.0,1.0,5.84,5.84,5.84,5.84,1200.0
Chengalpattu,2020,53119.0,203690.0,3.834597789868032,7304.0,30007.0,4.10829682365827,1.0,2.0,2.0,13.0,31.0,2.3846153846153846,0.0,,,60437.0,0.8789152340453695,0.12085311977761967,1.6546155500769396e-05,0.00021510002151000216,0.0,5.84,5.84,4.899166666666667,5.84,2318.2388272084977
Chengalpattu,2021,55003.0,234794.0,4.268748977328509,7956.0,36496.0,4.587229763700352,5.0,5.0,1.0,19.0,47.0,2.473684210526316,17.0,116.0,6.823529411764706,63000.0,0.8730634920634921,0.12628571428571428,7.936507936507937e-05,0.0003015873015873016,0.0002698412698412698,1.34,2.6,2.516363636363636,5.0,2309.4444444444443
Chengalpattu,2022,57326.0,241435.0,4.211614276244636,6915.0,37618.0,5.440057845263919,2.0,2.0,1.0,13.0,35.0,2.6923076923076925,5.0,39.0,7.8,64261.0,0.8920807332596754,0.10760803597827609,3.112307620485209e-05,0.00020229999533153857,7.780769051213022e-05,1.63,3.77,2.8927272727272726,4.06,2338.005944507555
Chennai,2018,246.0,,,0.0,,,0.0,,,0.0,,,0.0,,,246.0,1.0,0.0,0.0,0.0,0.0,4.981527777777778,4.892083333333333,4.869722222222222,4.981527777777778,2500.0
Chennai,2019,119.0,,,0.0,,,0.0,,,0.0,,,0.0,,,119.0,1.0,0.0,0.0,0.0,0.0,4.735555555555555,4.646111111111111,4.62375,4.735555555555555,2500.0
Chennai,2020,108.0,,,0.0,,,0.0,,,0.0,,,0.0,,,108.0,1.0,0.0,0.0,0.0,0.0,4.489583333333333,4.400138888888889,4.366597222222222,4.489583333333333,2500.0
Chennai,2022,121.0,356.0,2.9421487603305785,1.0,2.0,2.0,0.0,,,0.0,,,0.0,,,122.0,0.9918032786885246,0.00819672131147541,0.0,0.0,0.0,3.9121052631578945,3.696315789473684,3.642368421052631,3.9121052631578945,2487.7049180327867
Coimbatore,2011,2629.0,10486.0,3.9885888170407,7077.0,17890.0,2.5279073053553764,23114.0,18714.0,0.8096391797179199,94.0,210.0,2.234042553191489,4444.0,33128.0,7.454545454545454,37358.0,0.07037314631404251,0.18943733604582685,0.6187162053643128,0.002516194657101558,0.1189571176187162,9.07,9.37,9.284,9.92,942.2265645912522
Coimbatore,2012,2156.0,7890.0,3.6595547309833023,5434.0,8549.0,1.5732425469267577,0.0,,,0.0,,,4601.0,16919.0,3.677244077374484,12191.0,0.17685177590025428,0.4457386596669674,0.0,0.0,0.3774095644327783,7.17,8.62,9.864166666666668,17.42,1340.759576736937
Coimbatore,2013,2158.0,10139.0,4.698331788693235,5055.0,12389.0,2.45084075173096,25001.0,23105.0,0.9241630334786608,74.0,164.0,2.216216216216216,5443.0,35797.0,6.576704023516443,37731.0,0.0571943494739074,0.133974715750974,0.6626116455964591,0.001961252020884684,0.14425803715777477,10.32,11.1,12.175833333333335,15.59,914.6828867509475
