District,Date,H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20,H_21,H_22,H_23,H_24,H_25,H_26,H_27,H_28,H_29,H_30,H_31
Ariyalur,2013-03-01,0.030427825,0.086675845,0.05072808,0.0012737773,-0.057414588,0.055024058,-0.040540747,-0.06896729,-0.027401783,0.010785939,0.113498874,0.00622971,-0.00700299,0.09712815,-0.06656214,0.040038496,0.04756658,-0.08788306,0.059651498,0.014563309,0.040825956,-0.019252691,-0.04731513,0.05351405,-0.113683164,0.09555155,0.04319122,-0.06017946,0.024737425,-0.088154376,0.022753585,-0.07296683
Ariyalur,2013-04-01,0.029718325,0.08409833,0.049514428,0.0015095702,-0.056368366,0.054416467,-0.03998913,-0.067944944,-0.027301202,0.011461845,0.11059177,0.005984735,-0.0068132104,0.09367587,-0.06564429,0.038965505,0.045968138,-0.08622582,0.058230273,0.014393602,0.040440105,-0.018675024,-0.046764813,0.052134458,-0.11085608,0.093201816,0.041775174,-0.058516517,0.024229392,-0.08532026,0.022100259,-0.070266806
Ariyalur,2013-05-01,0.029337825,0.084158316,0.049242888,0.0016276464,-0.056006283,0.053570382,-0.038975663,-0.066525206,-0.027009493,0.01100678,0.10967149,0.0060971687,-0.006549933,0.092208154,-0.06450851,0.038561773,0.045474388,-0.0851092,0.058004428,0.0140835745,0.03994315,-0.018389096,-0.045849238,0.051325303,-0.10994264,0.092258744,0.040965524,-0.05796931,0.024292175,-0.08529329,0.021682614,-0.0692054
Ariyalur,2013-06-01,0.029302144,0.08552028,0.04945992,0.0016884519,-0.056038473,0.05278141,-0.037977163,-0.06526371,-0.02662456,0.01000743,0.110057026,0.0064630946,-0.006367784,0.0923486,-0.0634346,0.038557384,0.045683928,-0.0845416,0.058323875,0.013802124,0.03953739,-0.018327503,-0.04499783,0.051095363,-0.11021968,0.092294894,0.040792044,-0.05816342,0.024661833,-0.086777754,0.021567807,-0.06944597
Ariyalur,2013-07-01,0.029507503,0.08743199,0.049972408,0.0016926221,-0.056304194,0.052220207,-0.03726215,-0.0644395,-0.026293049,0.008846886,0.11123097,0.006922016,-0.00630895,0.09355426,-0.06264095,0.03885111,0.046354543,-0.08445726,0.058956698,0.013630997,0.039291628,-0.01841594,-0.04439085,0.051298104,-0.11123973,0.09297192,0.04113978,-0.058801245,0.025171991,-0.08889188,0.02169473,-0.07054473
Ariyalur,2013-08-01,0.029888056,0.0896945,0.050743625,0.0016262317,-0.056783486,0.051927637,-0.036870066,-0.06409626,-0.02607889,0.00767034,0.1130105,0.007381109,-0.006342155,0.09555326,-0.06222143,0.039415337,0.047394596,-0.084825054,0.05988615,0.013565774,0.039205957,-0.018629897,-0.044071782,0.05185497,-0.11286448,0.09417952,0.041880973,-0.05978796,0.02575566,-0.091388345,0.022003189,-0.07227243
Ariyalur,2013-09-01,0.030350232,0.09173162,0.051545464,0.0015197833,-0.057322726,0.051914897,-0.036830075,-0.06422408,-0.025998268,0.006721694,0.1149081,0.00774873,-0.006447546,0.09780818,-0.062190883,0.040070944,0.04851113,-0.08547837,0.060837485,0.013599851,0.039270096,-0.018897189,-0.04407292,0.052606497,-0.11462098,0.095570855,0.042801615,-0.060855247,0.026279263,-0.0936637,0.02240279,-0.07417973
Ariyalur,2013-10-01,0.030769676,0.09300182,0.05214514,0.0014122252,-0.05774483,0.052137226,-0.037110493,-0.064728074,-0.02605175,0.0062011853,0.11639619,0.007949548,-0.0065960535,0.09970462,-0.06248163,0.040624518,0.049396742,-0.08618258,0.061534747,0.013718303,0.039441817,-0.019131066,-0.044356287,0.05333638,-0.11600546,0.09673971,0.043654356,-0.06170235,0.026621697,-0.09512675,0.022780742,-0.075761326
Ariyalur,2013-11-01,0.030403059,0.0901522,0.050454494,0.0019494111,-0.055166602,0.049596515,-0.035487816,-0.062137797,-0.02542681,0.004230937,0.11284595,0.008818525,-0.006500997,0.09730134,-0.058032144,0.038978163,0.048435725,-0.08215768,0.059689805,0.013823762,0.03830905,-0.017643679,-0.04264905,0.051943343,-0.11213005,0.09363605,0.043294787,-0.05981657,0.027351508,-0.09317278,0.022328347,-0.07485189
Ariyalur,2013-12-01,0.030626513,0.0895415,0.050708253,0.0017449793,-0.055772353,0.051060326,-0.036990542,-0.06423231,-0.026006343,0.0056651677,0.113546155,0.008229761,-0.006699362,0.098079,-0.060299166,0.03946164,0.048564024,-0.083804674,0.059919298,0.014104215,0.03900778,-0.018103004,-0.044092633,0.052725226,-0.11298936,0.09456215,0.043723762,-0.0602261,0.026872398,-0.092319116,0.02259589,-0.07515607
Ariyalur,2014-01-01,0.030588662,0.08741218,0.050625198,0.0014780833,-0.056655135,0.053604174,-0.039386436,-0.06746874,-0.02691715,0.009011674,0.11342491,0.0070021604,-0.0069103553,0.097513326,-0.06434122,0.039805494,0.047793493,-0.086337134,0.059571646,0.014418545,0.040144823,-0.018869469,-0.046381086,0.053326964,-0.11325153,0.09509797,0.04351776,-0.060127065,0.02548937,-0.08945339,0.022680013,-0.07393923
Ariyalur,2014-02-01,0.02984589,0.083413504,0.04927138,0.0016010342,-0.055881526,0.054234598,-0.040129766,-0.06814008,-0.027310386,0.011349266,0.11020518,0.006193275,-0.0068841013,0.093728654,-0.06526848,0.038830005,0.04581952,-0.085807666,0.057840515,0.014524012,0.040341742,-0.01856936,-0.046973042,0.05220194,-0.11032094,0.092847586,0.042104967,-0.058288313,0.024316346,-0.08486954,0.02210926,-0.07065037
Ariyalur,2014-03-01,0.029077725,0.08064318,0.04815173,0.0017545607,-0.055141155,0.054160684,-0.040000632,-0.067681104,-0.027385797,0.012750838,0.107318096,0.0056838864,-0.006683168,0.090069935,-0.06523624,0.037882764,0.044093404,-0.08475355,0.05647532,0.014378408,0.040170405,-0.018185424,-0.046775587,0.05086849,-0.1076589,0.09067147,0.040563624,-0.056638952,0.023506137,-0.08161383,0.02142211,-0.06759389
Ariyalur,2014-04-01,0.028488694,0.07935759,0.047410477,0.0019125249,-0.054602798,0.053614672,-0.039276462,-0.06652999,-0.027173221,0.013186582,0.10534672,0.005539407,-0.006426627,0.087408416,-0.06454039,0.03713945,0.042899698,-0.08361018,0.05559265,0.014086186,0.039793514,-0.01785694,-0.04607374,0.049720306,-0.10578181,0.08904189,0.039300103,-0.055504333,0.023116704,-0.08005398,0.020840595,-0.06542066
Ariyalur,2014-05-01,0.02790108,0.07809102,0.046356145,0.002255558,-0.053389985,0.052020736,-0.037729364,-0.064192034,-0.026588857,0.012392003,0.102865145,0.0059180255,-0.006181072,0.08472568,-0.062051225,0.036015175,0.04176393,-0.08119541,0.054377787,0.013775975,0.0389665,-0.01708401,-0.044551086,0.048270207,-0.10317421,0.08677753,0.038159233,-0.054110773,0.023212457,-0.07889806,0.020261917,-0.06356458
Ariyalur,2014-06-01,0.028164808,0.08332163,0.047886178,0.0021756492,-0.05416104,0.050342083,-0.035605278,-0.061734002,-0.0258811,0.009202016,0.105775684,0.0069449795,-0.00581263,0.08746517,-0.059781004,0.03680658,0.04368804,-0.080771245,0.0564802,0.013323572,0.03817258,-0.01717831,-0.042685766,0.048570104,-0.1059591,0.08846796,0.03870628,-0.055750318,0.024622831,-0.08463679,0.020448105,-0.06605374
Ariyalur,2014-07-01,0.028689789,0.085518,0.048348572,0.002253794,-0.054279864,0.04948842,-0.034742594,-0.060659748,-0.02528627,0.007285354,0.10738179,0.0077620368,-0.005892381,0.0897683,-0.058298204,0.0370343,0.04474893,-0.080529876,0.05701739,0.013235288,0.037913386,-0.017166805,-0.04189157,0.049146067,-0.107212,0.089478515,0.039626747,-0.056683514,0.025485963,-0.08745671,0.020868776,-0.068132035
Ariyalur,2014-08-01,0.029087175,0.08658321,0.048624594,0.0022981935,-0.054152336,0.049006894,-0.034499146,-0.06034649,-0.025063025,0.005966436,0.10836294,0.008309451,-0.0060969368,0.09148132,-0.057307534,0.03725178,0.04559629,-0.08029351,0.057358213,0.013368508,0.03781507,-0.017064683,-0.041561294,0.049593855,-0.10794877,0.09007732,0.04055575,-0.05723646,0.02613502,-0.08890269,0.021238979,-0.069766514
Ariyalur,2014-09-01,0.029374104,0.08673507,0.048717264,0.0023093882,-0.053955577,0.048882123,-0.034680422,-0.06057778,-0.025087422,0.005318478,0.10883253,0.008557051,-0.006306491,0.092590496,-0.056894444,0.037399944,0.04613076,-0.08018431,0.057492845,0.013580704,0.037856583,-0.016952636,-0.041657597,0.04997387,-0.10827191,0.090418,0.04128368,-0.05751794,0.026501475,-0.08931135,0.021522056,-0.07086096
Ariyalur,2014-10-01,0.029554319,0.086383216,0.048737664,0.002277298,-0.053839013,0.04909144,-0.035146732,-0.061201993,-0.025288137,0.0052862964,0.10902675,0.008527828,-0.0064650434,0.09320005,-0.057079766,0.03753024,0.04640052,-0.08031948,0.057552833,0.013793942,0.038012426,-0.016907223,-0.042076755,0.050310213,-0.10842061,0.09065317,0.04175282,-0.05765089,0.026603306,-0.08907443,0.021707635,-0.07145204
Ariyalur,2014-11-01,0.029711686,0.08624483,0.048963804,0.002153131,-0.054116935,0.049760036,-0.035893627,-0.06227652,-0.025634348,0.005810743,0.10955513,0.008246624,-0.006562223,0.09381594,-0.058112517,0.03785988,0.04664294,-0.08108662,0.057849847,0.01395761,0.0383383,-0.017102944,-0.042829454,0.050785627,-0.109013714,0.09124149,0.042082164,-0.057962738,0.026480513,-0.08886664,0.021866651,-0.071869776
Ariyalur,2014-12-01,0.029517407,0.08369908,0.04829444,0.0021543426,-0.053903706,0.050758205,-0.037056617,-0.06371085,-0.026095321,0.007614272,0.108220264,0.007617099,-0.006696393,0.0924781,-0.05957962,0.037533972,0.04570281,-0.08155028,0.056932975,0.014201012,0.038788114,-0.017126612,-0.04391814,0.05070693,-0.1078273,0.09052543,0.04170359,-0.05722839,0.025692828,-0.086059265,0.02178561,-0.070554815
Ariyalur,2015-01-01,0.029150667,0.08112562,0.04775039,0.0020636523,-0.05405593,0.052257966,-0.038488835,-0.06552271,-0.02672106,0.01025502,0.10683752,0.006658555,-0.0067502414,0.09051679,-0.061970014,0.037334353,0.04449587,-0.08257582,0.056124285,0.014361304,0.0394021,-0.017391063,-0.045252986,0.050477356,-0.10677686,0.089848325,0.040933806,-0.056418832,0.02451669,-0.08282457,0.021544227,-0.068513565
Ariyalur,2015-02-01,0.028566094,0.078522235,0.046934698,0.0020900166,-0.05381667,0.0529863,-0.039096564,-0.06615219,-0.02704864,0.012352609,0.10469891,0.0059204935,-0.006649258,0.087612376,-0.063202314,0.036761317,0.04297722,-0.08260378,0.055038996,0.014326845,0.039621953,-0.017369112,-0.045795854,0.049648587,-0.10491586,0.088415,0.03969842,-0.055182293,0.023478292,-0.07961945,0.021040875,-0.065869965
Ariyalur,2015-03-01,0.027867917,0.07620484,0.04587257,0.0022774604,-0.053047746,0.05261928,-0.038654674,-0.06530179,-0.026956638,0.013308846,0.102003835,0.0056305164,-0.006436793,0.08426444,-0.06271118,0.035810657,0.041392576,-0.0813536,0.053729754,0.014122265,0.039324407,-0.016950523,-0.045326,0.048320305,-0.10234049,0.08629979,0.03826034,-0.05364801,0.02285155,-0.07695515,0.020386172,-0.06314169
Ariyalur,2015-04-01,0.02727853,0.07483044,0.044969372,0.0025149235,-0.052199285,0.05164339,-0.03760754,-0.06367142,-0.026589291,0.013267461,0.09974183,0.00571604,-0.006198041,0.081543826,-0.061265565,0.034889948,0.04018928,-0.07965794,0.052655667,0.013832226,0.038760506,-0.016423272,-0.0442909,0.04701641,-0.100058995,0.08434727,0.037051525,-0.052362192,0.022648642,-0.0754681,0.019799486,-0.061075732
