District,Rice_weight,Groundnut_weight,Jowar_weight,Bajra_weight,Maize_weight,ARIMA_Residual,ARIMA_Fitted,H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20,H_21,H_22,H_23,H_24,H_25,H_26,H_27,H_28,H_29,H_30,H_31
Theni,0.0,0.0,0.0,-0.002530160090141509,0.0,0.0,0.045600804998583384,0.0,0.0,0.0,0.0,0.0,-0.011141802641049966,-0.010029600809425127,0.0,0.0,0.0,-0.0029341512548370775,-0.009001680315855248,0.0,-0.006731065278853861,0.0,0.0,0.0,0.0,-0.010550934721005625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009479661331543576,0.0,0.0,0.0,-0.012596580064269475,0.0
Thenkasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020148284969112633,0.0,0.0,0.010194770133952136,0.013579333233230519,0.019607868492548988,0.0,-0.0056784032829319915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01473973559730048,0.0,0.0,0.0,-0.016631332718408203,0.0,0.0,0.0,0.02151431137147021,0.0,0.0,0.007739587624088627,-0.013856308069670783,0.0
Thiruvallur,0.0,0.0,0.0,0.0,0.0,0.0,-0.03742675518987532,0.0,0.0,-0.0037515916512336866,0.0,0.0,-0.006326003628765239,0.0,-0.020935253975538068,0.0,0.0,0.0,-0.00414511763992299,0.0,0.0,0.0,0.0,0.0,0.0,0.00012766073482125667,0.0,-0.007419613163399437,0.0,0.009826117143684924,0.0,0.0,0.0,-0.011456389825881014,0.0,0.0,0.0,0.0,0.015834232932908796
Thiruvarur,0.0,0.0,0.0,0.0,0.0,0.0,-0.057397756011525004,0.0,0.0,0.0,-0.008612653238123194,0.0,-0.008714074124123398,0.0,0.026133420083699906,0.0,0.0,0.0,0.0,0.007424602239758752,0.0,0.0,0.0,0.0,0.023185245477494877,0.0069657785995245755,0.0,-0.011991150797658306,0.0,0.0,0.0,0.02302526895914099,0.0,0.0,0.0,0.0,0.0,0.0,0.009416812310851381
Thoothukudi,0.0,0.0,0.0,0.0,0.0,0.0,-0.02738302911996859,-0.004812801850255899,0.0,0.0,0.0,0.008743597848982966,0.0,0.0,0.0,0.0,0.0,-0.00631693802108953,0.0,0.00940446149448514,0.0,0.0,0.0,-0.0071317944129473555,0.0,0.0,-0.005097523101068979,0.0,0.0,0.014523254725127745,0.0,0.0,0.0,0.024692630583735223,0.0,0.0,0.00994145679750494,0.0,0.0
Tiruchirappalli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008617623140234159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024652119052782803,-0.013853228887105763,0.0,0.0,-0.009907651199839686,0.0,0.0,0.0,0.012023669544593467,0.0016935681701610937,0.0,0.0,0.0,0.0,0.005633388969065015,0.0,0.005926595120754103,0.0,0.0,0.0,-0.02184356619075036,0.00819473845538476
Tirunelveli,0.0,0.0,0.0,-0.0032289533899847586,0.0,0.0,-0.010207115052226533,-0.0021415994200368257,-0.008025571894742945,0.0,0.0,-0.007099224801067073,0.0,0.0,-0.0024523172645382636,0.0,0.0,-0.00450295217675014,0.0,-0.004048117547816663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004143435458558643,-0.0106033486699469,0.0,0.0,0.0,0.0,0.0
Tirupathur,0.0,0.0,0.0,0.0,0.0,0.0,-0.03474268908730838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011731094289821416,0.0,0.0,-0.010937631637470984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021199800833889115,0.0,0.007369516969330348,0.008681696066973518,0.016924001318497115,0.0,-0.009655678495100118,0.0,0.0,0.020586416260974145,0.0,-0.04827366547162303
Tiruppur,-0.010752385563020704,0.0,-0.01028334229300476,0.0,0.0,0.0,0.0937115235869447,0.0,-0.0074886469238382575,0.0,0.0,0.0,0.0,0.0,0.0,0.015347066819796041,0.0,0.02506091903770344,0.0,-0.00825838026307299,0.0,0.0,0.0,0.0,0.0,-0.013847644495797498,0.0,0.0,0.0,0.035282858953167656,0.0,0.0,0.0,0.018850435984691157,0.0,0.0,0.0,0.0,0.0
Tiruvannamalai,0.0,0.0,0.0,0.0,0.0,0.0,-0.03017585166838883,0.0,0.0,0.0,0.0,-0.0026419911257811166,-0.006273079132599189,0.0,-0.0027453083617193924,0.0,-0.004366798333228498,0.0,-0.0035512444709170444,-0.002272112256623217,-0.003482511693264169,-0.002983862394268054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002425798952158965
Vellore,0.0,-0.009688815969018234,-0.005630132175091362,0.0,0.0,0.0,-0.020507787997828802,0.0,0.0,0.0,0.0,0.0,0.0,-0.00673664485236844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306277463851612,0.0,0.0,0.0050224683570634,0.014347615138155306,0.0,0.0,0.0,0.013115332783553427,0.0,0.0,0.0,0.014380297242806933,-0.013516550736640655
Villupuram,0.0,0.0,0.0,0.0,0.0,0.0,-0.02916535432088425,-0.0016893562176665238,0.0,0.0,0.0,0.0,-0.008230539694042839,-0.0028470011738212144,0.0,-0.0051160196610209084,0.0,0.0,0.0,-0.010845255277435429,0.0,-0.003990910574379697,0.0,0.0,0.0,0.0,0.0,0.0,-0.0055196136674423805,0.0,0.0,0.0,-0.005117516996269662,0.01740624406921661,0.0,0.0,0.0,0.0,0.0
Virudhunagar,0.0,0.0,0.0,0.0,0.0,0.0,0.03127803786326684,0.0,0.0,0.0,0.0,0.018638723146222988,0.007546481873172445,0.0,0.0,0.0,0.0,0.024800676171752294,0.0069650228190500174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013805851907362488,0.0,0.040895322787811626,0.0,0.0,0.0,0.013820905636026058,0.013197756644674633,0.0,0.0,0.05975432543804649,0.0
