District,Year,GW_May_Actual,ARIMA_Fitted,ARIMA_Residual,ARIMA_Trend_m_yr
Tirupathur,2016,9.96,9.96,-0.0,-0.3759
Tirupathur,2017,9.96,9.96,0.0,-0.3759
Tirupathur,2018,9.96,9.96,-0.0,-0.3759
Tirupathur,2019,9.96,9.96,0.0,-0.3759
Tirupathur,2020,9.96,9.96,-0.0,-0.3759
Tirupathur,2021,8.53,9.96,-1.43,-0.3759
Tirupathur,2022,4.06,8.0528,-3.9928,-0.3759
Tirupathur,2023,4.83,2.9725,1.8575,-0.3759
Tirupathur,2024,6.37,6.0286,0.3414,-0.3759
Tirupathur,2025,5.65,5.8534,-0.2034,-0.3759
Tiruppur,2011,7.94,0.0,7.94,-0.2141
Tiruppur,2012,8.465,7.94,0.525,-0.2141
Tiruppur,2013,13.75,8.5981,5.1519,-0.2141
Tiruppur,2014,12.77,15.247,-2.477,-0.2141
Tiruppur,2015,9.06,11.2608,-2.2008,-0.2141
Tiruppur,2016,11.25,8.9808,2.2692,-0.2141
Tiruppur,2017,14.64,12.1108,2.5292,-0.2141
Tiruppur,2018,11.56,15.1855,-3.6255,-0.2141
Tiruppur,2019,11.22,9.9395,1.2805,-0.2141
Tiruppur,2020,11.61,12.4531,-0.8431,-0.2141
Tiruppur,2021,8.73,10.7193,-1.9893,-0.2141
Tiruppur,2022,7.13,8.3686,-1.2386,-0.2141
Tiruppur,2023,7.47,6.8144,0.6556,-0.2141
Tiruppur,2024,7.71,7.8704,-0.1604,-0.2141
Tiruppur,2025,8.26,7.4635,0.7965,-0.2141
Tiruvannamalai,2011,5.76,0.0,5.76,-0.1579
Tiruvannamalai,2012,5.54,5.76,-0.22,-0.1579
Tiruvannamalai,2013,6.57,5.6407,0.9293,-0.1579
Tiruvannamalai,2014,9.82,6.0674,3.7526,-0.1579
Tiruvannamalai,2015,9.58,7.9968,1.5832,-0.1579
Tiruvannamalai,2016,5.81,9.2039,-3.3939,-0.1579
Tiruvannamalai,2017,10.38,7.6631,2.7169,-0.1579
Tiruvannamalai,2018,7.39,8.5173,-1.1273,-0.1579
Tiruvannamalai,2019,10.83,8.4301,2.3999,-0.1579
Tiruvannamalai,2020,7.83,9.3305,-1.5005,-0.1579
Tiruvannamalai,2021,5.75,8.975,-3.225,-0.1579
Tiruvannamalai,2022,4.42,7.1438,-2.7238,-0.1579
Tiruvannamalai,2023,4.54,5.4929,-0.9529,-0.1579
Tiruvannamalai,2024,6.3,4.7723,1.5277,-0.1579
Tiruvannamalai,2025,4.33,5.4505,-1.1205,-0.1579
Vellore,2011,6.51,0.0,6.51,-0.2142
Vellore,2012,8.76,6.51,2.25,-0.2142
Vellore,2013,10.17,8.3768,1.7932,-0.2142
Vellore,2014,9.08,9.5674,-0.4874,-0.2142
Vellore,2015,9.67,8.7868,0.8832,-0.2142
Vellore,2016,11.53,9.2754,2.2546,-0.2142
Vellore,2017,10.48,10.7302,-0.2502,-0.2142
Vellore,2018,7.99,10.0149,-2.0249,-0.2142
Vellore,2019,11.12,8.2025,2.9175,-0.2142
Vellore,2020,9.42,10.4929,-1.0729,-0.2142
Vellore,2021,8.38,9.2947,-0.9147,-0.2142
Vellore,2022,4.4,8.5475,-4.1475,-0.2142
Vellore,2023,6.07,5.6619,0.4081,-0.2142
Vellore,2024,6.75,6.7872,-0.0372,-0.2142
Vellore,2025,6.33,7.2335,-0.9035,-0.2142
Villupuram,2011,4.16,0.0,4.16,-0.1594
Villupuram,2012,5.39,4.16,1.23,-0.1594
Villupuram,2013,6.97,5.1164,1.8536,-0.1594
Villupuram,2014,8.05,6.744,1.306,-0.1594
Villupuram,2015,8.16,7.9124,0.2476,-0.1594
Villupuram,2016,6.43,8.1872,-1.7572,-0.1594
Villupuram,2017,9.88,6.7701,3.1099,-0.1594
Villupuram,2018,8.09,9.0601,-0.9701,-0.1594
Villupuram,2019,9.98,8.7467,1.2333,-0.1594
Villupuram,2020,7.76,9.3618,-1.6018,-0.1594
Villupuram,2021,4.62,8.4311,-3.8111,-0.1594
Villupuram,2022,4.28,5.0137,-0.7337,-0.1594
Villupuram,2023,4.02,4.2072,-0.1872,-0.1594
Villupuram,2024,4.76,4.0987,0.6613,-0.1594
Villupuram,2025,3.71,4.5821,-0.8721,-0.1594
Virudhunagar,2011,6.29,0.0,6.29,-0.2281
Virudhunagar,2012,6.1,6.29,-0.19,-0.2281
Virudhunagar,2013,9.5,6.1388,3.3612,-0.2281
Virudhunagar,2014,10.44,8.7863,1.6537,-0.2281
Virudhunagar,2015,8.55,10.1098,-1.5598,-0.2281
Virudhunagar,2016,7.56,8.8908,-1.3308,-0.2281
Virudhunagar,2017,10.93,7.8325,3.0975,-0.2281
Virudhunagar,2018,8.77,10.2645,-1.4945,-0.2281
Virudhunagar,2019,11.04,9.1067,1.9333,-0.2281
Virudhunagar,2020,9.32,10.6198,-1.2998,-0.2281
Virudhunagar,2021,7.21,9.6082,-2.3982,-0.2281
Virudhunagar,2022,6.0,7.7106,-1.7106,-0.2281
Virudhunagar,2023,5.71,6.3485,-0.6385,-0.2281
Virudhunagar,2024,3.75,5.8353,-2.0853,-0.2281
Virudhunagar,2025,4.48,4.189,0.291,-0.2281
